Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product subtitle (product.metafields.descriptors.subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),video (product.metafields.my_fields.video),Chamois type (product.metafields.next_cart.chamois-type),Colección Agu (product.metafields.next_cart.coleccion-agu),Color (product.metafields.next_cart.color),Color Anteojo (product.metafields.next_cart.color-anteojo),Cross-sell Products (product.metafields.next_cart.complementary_products),Genero (product.metafields.next_cart.genero),Height (product.metafields.next_cart.height),ISBN (product.metafields.next_cart.isbn),Length (product.metafields.next_cart.length),Short Description (product.metafields.next_cart.short_description),Talla (product.metafields.next_cart.talla),Talla accesorios (product.metafields.next_cart.talla-accesorios),Temperatura (product.metafields.next_cart.temperatura),Temporada (product.metafields.next_cart.temporada),Tipo Lente (product.metafields.next_cart.tipo-lente),Up-sell Products (product.metafields.next_cart.up_sell_products),Width (product.metafields.next_cart.width),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Compatible bike type (product.metafields.shopify.compatible-bike-type),Compatible eyewear type (product.metafields.shopify.compatible-eyewear-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Lens color (product.metafields.shopify.lens-color),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Optical frame design (product.metafields.shopify.optical-frame-design),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),UV protection (product.metafields.shopify.uv-protection),Vehicle placement (product.metafields.shopify.vehicle-placement),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Chile,Price / Chile,Compare At Price / Chile,Status
guante-oficial-tdf-team-visma-lease-a-bike,Guante Oficial TDF Team Visma | Lease a Bike,"<p>Guantes oficiales del Tour de Francia del Team Visma | Lease a Bike.<br>Completa tu atuendo ciclista con los guantes del Team Visma | Lease a Bike.</p>
<p>Estos guantes tienen el mismo diseño que los que usan nuestros ciclistas en el pelotón.<br>Están diseñados para ciclistas que buscan protección y comodidad para sus manos mientras pedalean, y proporcionan un agarre firme al manillar. Además, son ligeros y transpirables, perfectos para mantenerte fresco y disfrutar al máximo de tu recorrido.</p>
<p><br>No solo pedaleamos para ganar, pedaleamos #beyondvictory.</p>",Team Visma | Lease a Bike,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Guantes Ciclismo,visma-leaseabike,true,Talla,S,,,,,,,,69069701-512-03,0.0,shopify,1,deny,manual,39990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/69069701-000_TVLReplicaGlovesTdF26_02.png?v=1783388623,1,"",false,,"Guante oficial del Tour de Francia del Team Visma | Lease a Bike.
Estos guantes tienen el mismo diseño que los que usan nuestros ciclistas en el pelotón.",3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/69069701-000_TVLReplicaGlovesTdF26_01.png?v=1783388623,kg,,,true,,,active
guante-oficial-tdf-team-visma-lease-a-bike,,,,,,,,,M,,,,,,,,69069701-512-04,0.0,shopify,2,deny,manual,39990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/69069701-000_TVLReplicaGlovesTdF26_01.png?v=1783388623,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/69069701-000_TVLReplicaGlovesTdF26_01.png?v=1783388623,kg,,,,,,
guante-oficial-tdf-team-visma-lease-a-bike,,,,,,,,,L,,,,,,,,69069701-512-05,0.0,shopify,2,deny,manual,39990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/69069701-000_TVLReplicaGlovesTdF26_01.png?v=1783388623,kg,,,,,,
guante-oficial-tdf-team-visma-lease-a-bike,,,,,,,,,XL,,,,,,,,69069701-512-06,0.0,shopify,2,deny,manual,39990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/69069701-000_TVLReplicaGlovesTdF26_01.png?v=1783388623,kg,,,,,,
jersey-ciclismo-manga-corta-agu-premium-woven-negro-alto-rendimiento,Jersey Ciclismo Manga Corta AGU Premium Woven Negro | Alto Rendimiento,"<p>El jersey AGU Premium Woven es la tricota de más alto rendimiento de la línea AGU. Su construcción con tres telas distintas — frente, espalda y brazos — está diseñada para que cada zona del cuerpo reciba exactamente lo que necesita: compresión donde importa, ventilación donde se genera calor.</p><h2>Frente: compresión y soporte</h2><p>El panel frontal usa el tejido Woven italiano más estructurado (73% Poliamida, 27% Elastano), que ofrece compresión progresiva para reducir la vibración muscular y mejorar la circulación. Se siente como una segunda piel que te sostiene sin restringir el pedaleo.</p><h2>Espalda: ventilación activa</h2><p>La espalda incorpora paneles de tela de menor densidad (78% Poliamida, 22% Elastano) con cortes laser, diseñados específicamente para expulsar la transpiración donde más se acumula. El grip de silicona en el borde inferior mantiene la tricota en su lugar a cualquier velocidad.</p><h2>Brazos: ligereza y frescor</h2><p>Las mangas usan una malla dimple ultra liviana (56% Poliamida, 44% Elastano) que maximiza el flujo de aire en los brazos, eliminando el calor rápidamente durante esfuerzos intensos.</p><h2>Características</h2><ul>
<li>Tres telas distintas optimizadas por zona: frente compresivo, espalda ventilada, brazos de malla liviana</li>
<li>Paneles traseros de tela ligera con cortes laser</li>
<li>Mangas de malla dimple</li>
<li>Cuello profundo con protector de mentón</li>
<li>Puños de licra con acabado laser y silicona antideslizante</li>
<li>Cierre frontal completo YKK Vislon con camlock</li>
<li>Grip de silicona en borde trasero</li>
<li>3 bolsillos traseros</li>
</ul>",AGU,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories,Jersey,"AGU, alto-rendimiento, ciclismo, hombre, jersey, manga-corta, negro, premium, woven",true,Talla,S,,,,,,,,47461500-000-03,0.0,,3,deny,manual,179990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/agu-woven-premium-short-sleeve-jersey.webp?v=1784162253,1,Jersey de ciclismo manga corta AGU Premium Woven negro para hombre,false,,Jersey de ciclismo manga corta AGU Premium Woven en negro. Tejido italiano de alta gama con ventilación laser y cierre YKK Vislon. Máximo rendimiento para ciclistas exigentes. Disponible en Chile.,3982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
jersey-ciclismo-manga-corta-agu-premium-woven-negro-alto-rendimiento,,,,,,,,,L,,,,,,,,47461500-000-05,0.0,shopify,1,deny,manual,179990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
jersey-ciclismo-manga-corta-agu-premium-woven-negro-alto-rendimiento,,,,,,,,,XL,,,,,,,,47461500-000-06,0.0,shopify,1,deny,manual,179990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
tricota-manga-larga-ciclismo-mujer-agu-trend-aqua-velvet-purple,Tricota Manga Larga Ciclismo Mujer AGU Trend | Aqua Velvet Purple,"<p>La <strong>Tricota Manga Larga AGU Trend Aqua Velvet Purple</strong> combina el diseño llamativo de la colección Trend con un interior afelpado que te abriga en los días más fríos. Su estampado degradé en tonos rojo, morado y azul marino la hace inconfundible sobre la bicicleta.</p><h3>Interior afelpado — abrigo desde el primer kilómetro</h3><p>El tejido interior con acabado afelpado retiene el calor corporal sin añadir peso ni rigidez. Perfecta para salidas de otoño e invierno donde necesitas abrigo sin perder libertad de movimiento.</p><h3>Características principales</h3><ul>
<li>
<strong>Interior afelpado de poliéster</strong> — suave al tacto, retiene el calor en condiciones frías</li>
<li>
<strong>Estampado Aqua Velvet Purple</strong> — degradé exclusivo en rojo, morado y azul marino</li>
<li>
<strong>Manga larga con elastano</strong> — ajuste preciso y libertad de movimiento total en los brazos</li>
<li>
<strong>Cierre frontal con cremallera</strong> — ventilación regulable según la temperatura</li>
<li>
<strong>3 bolsillos traseros</strong> — para snacks, teléfono y accesorios</li>
<li>
<strong>Banda de silicona inferior</strong> — la tricota se mantiene en su lugar mientras pedaleas</li>
<li>
<strong>Colección Trend AGU</strong> — diseño premium con estampados exclusivos de temporada</li>
</ul><h3>Especificaciones técnicas</h3><ul>
<li>
<strong>Marca:</strong> AGU</li>
<li>
<strong>Línea:</strong> Trend</li>
<li>
<strong>Color:</strong> Aqua Velvet Purple</li>
<li>
<strong>Mangas:</strong> Larga</li>
<li>
<strong>Género:</strong> Mujer</li>
<li>
<strong>Composición cuerpo:</strong> 100% Poliéster (interior afelpado)</li>
<li>
<strong>Composición manga:</strong> 83% Poliéster / 17% Elastano</li>
<li>
<strong>EAN:</strong> 8717565677326</li>
</ul><p>Ideal para ciclismo de ruta y cicloturismo en otoño e invierno. Disponible en <strong>República Ciclismo, Chile</strong>.</p>",Republica Ciclismo,,"","",false,Talla,M,,,,,,,,44849900-532-04,0.0,shopify,0,deny,manual,89990,,true,true,,,,,,,,,false,Tricota Manga Larga Mujer AGU Trend Aqua Velvet Purple | Invierno Ciclismo,"Tricota manga larga mujer AGU Trend Aqua Velvet Purple. Interior afelpado para días fríos, estampado degradé exclusivo, 3 bolsillos. Ciclismo invierno. Envío a todo Chile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
tricota-manga-larga-ciclismo-mujer-agu-trend-aqua-velvet-purple,,,,,,,,,L,,,,,,,,44849900-532-05,0.0,shopify,1,deny,manual,89990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
tricota-manga-larga-ciclismo-hombre-agu-merino-six6-french-oak,Tricota Manga Larga Ciclismo Hombre AGU Merino SIX6 | French Oak,"<p>La <strong>Tricota Manga Larga AGU Merino SIX6 French Oak</strong> te da abrigo y comodidad en tus salidas de otoño e invierno. Confeccionada con lana merino orgánica de la colección Greensphere de AGU, regula la temperatura de forma natural: te mantiene abrigado cuando hace frío y transpira cuando te esfuerzas más.</p><h3>Merino natural — sin piel áspera ni olor</h3><p>La lana merino no pica, es suave al contacto con la piel y resiste el olor incluso después de varias salidas. Ideal para días frescos en ruta o gravel donde los cambios de temperatura son constantes.</p><h3>Características principales</h3><ul>
<li>
<strong>Lana merino orgánica</strong> — abrigo natural, transpirable y antiolor</li>
<li>
<strong>Colección Greensphere AGU</strong> — fabricada con materiales orgánicos certificados</li>
<li>
<strong>Cierre con garage para el cierre</strong> — evita la irritación en el mentón durante los descensos</li>
<li>
<strong>Placa interna con protector de mentón</strong> — máxima comodidad en el cuello</li>
<li>
<strong>3 bolsillos traseros + 1 bolsillo impermeable con cierre oculto</strong> — para teléfono, llaves o snacks</li>
<li>
<strong>Banda de silicona en el borde inferior</strong> — la tricota no sube mientras pedaleas</li>
<li>
<strong>Puños de comfort</strong> — ajuste suave en las muñecas sin presión excesiva</li>
<li>
<strong>Corte ajustado</strong> — aerodinámico y cómodo en posición de pedaleo</li>
</ul><h3>Especificaciones técnicas</h3><ul>
<li>
<strong>Marca:</strong> AGU</li>
<li>
<strong>Línea:</strong> SIX6 Merino III</li>
<li>
<strong>Color:</strong> French Oak (beige natural)</li>
<li>
<strong>Mangas:</strong> Larga</li>
<li>
<strong>Género:</strong> Hombre</li>
<li>
<strong>Material:</strong> Lana merino + poliamida + elastano</li>
<li>
<strong>Colección:</strong> Greensphere</li>
<li>
<strong>EAN:</strong> 8720866058497</li>
</ul><p>Ideal para ciclismo de ruta, gravel y cicloturismo en otoño e invierno. Disponible en <strong>República Ciclismo, Chile</strong>.</p>",Republica Ciclismo,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories,Tricotas Hombre,"agu, ciclismo-chile, hombre-ropa-ciclismo, invierno, maillot-ciclismo, manga-larga, merino, otono-invierno, six6, tricotas-ciclismo-hombre, tricotas-manga-larga",true,Talla,S,,,,,,,,45326100-569-03,0.0,shopify,1,deny,manual,159990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/AGU_Six6_Merino_Cykeltroeje_French_Oa_1695987881.jpg?v=1781787959,1,Tricota Manga Larga AGU Merino SIX6 French Oak - vista frontal,false,Tricota Manga Larga Ciclismo Hombre AGU Merino SIX6 French Oak | Invierno,"Tricota manga larga AGU Merino SIX6 French Oak para ciclismo hombre. Lana merino orgánica para días fríos, 3 bolsillos + cierre impermeable oculto. Envío a todo Chile.",3982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/AGU_Six6_Merino_Cykeltroeje_French_Oa_1695987881.jpg?v=1781787959,kg,,,true,,,active
